T0;ALFA;BETA;pt3;ps4;dp14;dp24;dp34;K1;K2;K3;K4;K5;K6;status
304.28;13.4;0;102913.18;100137.51;-82.48;-54.08;-16.54;-5814.88;478.11;-1126.2;-0.12;5.52;-0.12;0
304.29;14.44;0;102914.38;100139.91;-82.51;-53.41;-15.77;-5992.39;508.31;-1149.72;-0.37;8.15;-0.37;0
304.31;14.92;0;102913.78;100148.91;-83.12;-54.13;-16.5;-5928.89;596.35;-1049.59;-15.84;-14.33;-15.84;0
304.08;-10.38;0;102884.8;100133.91;-79.41;-51.38;-11.62;1610.09;718.63;-548.21;-31;-26.38;-14.51;1
304.14;-9.37;0;102888.42;100130.91;-78.69;-50.4;-10.68;1560.82;654.66;-549.64;-18.12;-15.19;-24.57;1
304.19;-8.34;0;102889.02;100129.1;-80.08;-51.86;-12.07;1397.08;572.05;-556.62;-11.82;-5.31;10.77;1
304.23;-7.23;0;102887.82;100125.5;-79.87;-51.93;-12.05;990.84;482.03;-560.17;-3.36;5.48;-24.85;1
304.25;-6.06;0;102882.98;100116.49;-80.53;-51.81;-12.05;249.76;383.22;-583.19;-8.89;-14.67;-24.87;1
304.27;-4.96;0;102883.59;100117.7;-79.8;-51.81;-12.85;-129.78;362.6;-625.05;-9.72;-13.24;-22.64;1
304.3;-3.88;0;102879.97;100116.49;-80.36;-52.08;-12.87;-496.43;352.35;-661.6;-7;-11.55;-21.05;1
304.3;-2.79;0;102885.41;100117.09;-80.81;-52.46;-13.25;-875.18;347.14;-700.36;-3.73;-10.78;-19.74;1
304.34;-1.7;0;102882.98;100117.09;-81.21;-52.13;-13.63;-1244.85;341.69;-741.41;-4.51;-9.29;-25.56;1
304.35;-0.61;0;102886.61;100117.09;-80.9;-51.75;-13.11;-1607.68;341.09;-787.97;-2.24;-8.94;-20.92;1
304.38;0.48;0;102883.59;100114.09;-80.51;-51.87;-13.8;-1968.24;342.31;-825.08;-5.02;-9.96;-19;1
304.41;1.57;0;102878.77;100112.29;-80.8;-52.44;-14.32;-2321.97;344;-871.31;-4.76;-9.12;-18.44;1
304.42;2.64;0;102882.98;100113.49;-81.51;-52.28;-14.74;-2674.19;351.68;-903.88;-5.01;-9.66;-15.7;1
304.44;3.72;0;102881.18;100112.89;-82.04;-53.26;-14.98;-3012.76;358.67;-944.88;-6.27;-9.49;-8.59;1
304.46;4.82;0;102881.18;100114.69;-81.86;-52.76;-14.72;-3352.85;366.58;-984.86;-6;-10.24;-7.07;1
304.48;5.89;0;102880.58;100112.29;-82.05;-53.74;-15.05;-3687.62;379.32;-1021.3;-6.74;-10.28;-3.18;1
304.5;6.97;0;102879.97;100112.89;-82.42;-53.53;-15.92;-4010.28;393.45;-1057.27;-4.44;-8.47;-1.6;1
304.52;8.04;0;102878.16;100111.09;-81.98;-53.43;-15.69;-4333.68;408.49;-1095.09;-6.69;-8.48;-2;1
304.55;9.12;0;102879.97;100109.29;-81.99;-53.26;-15.6;-4655.57;426.99;-1137.16;-5.38;-7.34;2.91;1
304.56;10.19;0;102881.18;100108.69;-82.49;-54.37;-16.45;-4957.75;444.81;-1172.91;-6.11;-8.25;4.8;1
304.59;11.27;0;102882.98;100113.49;-83.04;-54.2;-16.64;-5231.15;463.82;-1209.84;-5.84;-7.98;11.18;1
304.6;12.32;0;102882.38;100111.69;-82.31;-53.53;-15.55;-5484.85;482.6;-1246.18;-4.07;-6.54;10.01;1
304.63;13.37;0;102885.41;100112.29;-82.45;-53.05;-16.14;-5685.5;509.48;-1262.74;-4.35;-5.28;12.69;1
304.65;14.41;0;102889.63;100115.89;-82.61;-53.24;-15.98;-5859.63;537.52;-1297.57;-4.1;-1.89;13.12;1
304.67;14.93;0;102890.84;100127.3;-83.04;-53.97;-16.78;-5802.63;614.45;-1218.66;-15.06;25.23;-5.36;1
302.54;-10.36;0;103161.32;100384.27;-80.11;-52.14;-11.47;1536.94;667.67;-403.28;-24.28;-22.65;10.95;1
302.59;-9.34;0;103158.91;100380.06;-80.11;-51.73;-11.59;1457.78;601.87;-409.08;-25.96;-29.82;-5.59;1
302.62;-8.34;0;103155.88;100374.05;-80.92;-52.83;-12.78;1416.49;535;-412.86;-14.03;-10.98;-11.29;1
302.65;-7.29;0;103152.87;100368.05;-80.79;-52.15;-12.43;1222.12;449.38;-413.93;-5.12;3.73;-10.62;1
302.69;-6.2;0;103146.23;100361.45;-80.59;-52.39;-12.77;856.57;379.19;-433.36;-3.1;11;-27.91;1
302.71;-5.1;0;103143.81;100354.24;-80.27;-51.88;-11.99;433.44;298.4;-473.36;-4.11;0.25;-20.17;1
302.72;-4.01;0;103142;100353.64;-80.61;-52.12;-11.96;78.62;285.2;-509.48;-0.33;2.2;-20.03;1
302.75;-2.94;0;103140.79;100352.44;-80.62;-52.26;-12.41;-273.16;275.67;-548.26;-0.57;3.26;-22.12;1
302.77;-1.86;0;103141.39;100349.44;-81.19;-52.45;-13.04;-628.72;269.58;-593.63;-2.31;2.27;-20.66;1
302.8;-0.77;0;103140.19;100350.04;-81.51;-52.15;-13.06;-989.58;262.11;-636.04;-3.55;1.26;-21.36;1
302.83;0.32;0;103135.96;100345.84;-81.14;-52.7;-12.96;-1349.68;260.17;-674.96;-1.24;2.1;-19.7;1
302.85;1.41;0;103137.17;100346.44;-81.8;-53.11;-13.87;-1709.01;260.05;-717.51;-1.94;1.12;-24.65;1
302.87;2.5;0;103141.39;100344.03;-81.43;-53.17;-13.61;-2064.55;264.3;-753.6;-0.62;3.59;-21.63;1
302.9;3.58;0;103133.55;100344.64;-82.64;-53.67;-14.67;-2408.73;268.34;-791.95;0.2;3.09;-22.32;1
302.92;4.66;0;103138.38;100343.44;-82.11;-53.67;-14.92;-2757.44;275.59;-832.87;-1.5;2.14;-15.06;1
302.94;5.74;0;103136.56;100343.44;-82.04;-53.62;-14.61;-3093.27;285.14;-868.9;-0.67;3.96;-18.76;1
302.97;6.82;0;103131.13;100342.23;-82.22;-53.23;-14.46;-3427.58;294.93;-904.94;-0.86;3.25;-17.09;1
302.98;7.9;0;103132.34;100342.23;-82.59;-54.04;-15.28;-3764.16;308.85;-943.08;-1.53;3.48;-15.26;1
303.01;8.97;0;103133.55;100341.63;-82.82;-53.54;-15.19;-4090.89;323.46;-979;-1.7;3.03;-13.64;1
303.03;10.05;0;103133.55;100339.84;-83.19;-54.32;-15.98;-4416.1;340.38;-1021.94;-0.33;3.51;-9.76;1
303.06;11.13;0;103132.34;100339.84;-82.9;-53.65;-15.7;-4715.54;361;-1055.56;-1;5.86;-9.94;1
303.05;12.19;0;103130.53;100340.44;-83.06;-53.93;-16.37;-4993.76;382.79;-1087.51;-0.67;4.78;-2.65;1
303.09;13.25;0;103133.55;100341.03;-83.82;-54.24;-16.35;-5225.02;407.13;-1110.6;-1.88;6.28;-4.54;1
303.11;14.3;0;103136.56;100341.63;-82.65;-53.9;-15.8;-5431.25;436.57;-1135.23;-2.08;7.36;0.98;1
303.15;15.02;0;103132.95;100351.24;-83.07;-53.8;-16.27;-5369.18;544.76;-1022.29;-22.51;29.54;-19.53;1
302.88;-10.31;0;103087.06;100310.41;-79.59;-51.3;-10.98;1337.54;596.76;-150.22;-24.34;-16.93;-38.05;1
303.02;-9.3;0;103078;100304.41;-79.33;-51.74;-11.47;1290.94;537.52;-155.01;-19.98;-15.31;-9.94;1
303.04;-8.29;0;103081.02;100299.01;-80.65;-52.24;-11.94;1211.87;469.49;-155.82;-14.12;-6.86;-3.08;1
303.04;-7.22;0;103081.62;100293.61;-80.78;-52.55;-12.91;1001.69;389.6;-156.91;-3.68;7.64;-21.83;1
303.07;-6.15;0;103073.17;100288.8;-79.81;-51.73;-11.63;627.89;316.22;-179.95;-1.68;11.68;-36.09;1
303.07;-5.04;0;103071.97;100281.59;-81.05;-52.42;-12.45;207.14;243.5;-216.1;-3.7;3.03;-24.99;1
303.08;-3.96;0;103065.93;100281.59;-81.15;-53.04;-13.58;-152.12;234.22;-246.32;-2.96;2.93;-27.45;1
303.08;-2.88;0;103065.33;100280.4;-80.45;-51.81;-12.05;-507.59;226.33;-287.46;-2.71;5.15;-25.8;1
303.09;-1.79;0;103065.93;100281;-81.34;-52.31;-13.23;-870.64;219.58;-316.18;-0.96;4.81;-20.83;1
303.11;-0.7;0;103065.33;100280.4;-80.82;-52.4;-13.04;-1232.91;219.95;-358.15;-1.17;6.14;-23.98;1
303.12;0.37;0;103067.73;100279.8;-81.69;-53.06;-13.88;-1586.85;218.02;-392.49;-1.92;4.23;-26.86;1
303.14;1.47;0;103067.13;100278.59;-81.64;-52.72;-13.98;-1952.15;222.98;-434.3;-1.61;6.49;-24.36;1
303.17;2.55;0;103063.52;100278.59;-80.94;-52.33;-13.2;-2303.05;225.43;-469.6;0.18;6.2;-25.43;1
303.18;3.63;0;103066.53;100278;-82.14;-53.19;-14.14;-2650.15;235.92;-505.1;-1.02;5.27;-23.28;1
303.19;4.72;0;103064.12;100276.8;-82.54;-53.43;-14.7;-2997.25;245.72;-542.22;-1.22;5.94;-19.61;1
303.21;5.79;0;103064.72;100278;-82.23;-53.68;-14.65;-3343.6;255.53;-570.25;-0.42;4.29;-18.31;1
303.23;6.88;0;103059.89;100276.8;-82.7;-53.77;-15.08;-3676.29;271.31;-614.77;-0.59;5.93;-18.66;1
303.25;7.96;0;103064.72;100276.2;-82.81;-53.7;-15.71;-4018.83;286.4;-646.16;-3.3;5.01;-16.88;1
303.28;9.03;0;103064.12;100276.2;-82.68;-53.74;-15.4;-4343.19;305.41;-680.16;-1.96;5.27;-17.88;1
303.29;10.12;0;103062.91;100274.99;-83.1;-53.9;-15.8;-4666.78;325.8;-713.7;-1.12;5.53;-12.75;1
303.3;11.19;0;103067.73;100275.59;-83.21;-54.54;-16.15;-4980.52;348.5;-744.62;-1.29;6.27;-10.16;1
303.32;12.25;0;103068.95;100277.39;-82.95;-54.01;-15.8;-5257.89;372.61;-775.59;-0.98;5.66;-2.84;1
303.34;13.31;0;103066.53;100276.2;-83.16;-54.65;-16.5;-5491.31;403.42;-796.97;-2.19;6.73;-4.75;1
303.36;14.36;0;103070.76;100276.8;-82.88;-54.07;-16.2;-5695.18;437.01;-816.83;-1.89;8.28;-3.38;1
303.38;15.04;0;103068.95;100286.4;-82.7;-53.85;-15.34;-5588.3;550.76;-730.52;-23.29;37.94;-35.37;1
302.76;-10.24;0;103019.44;100242.58;-79.8;-51.64;-11.69;1005.36;516.68;329.58;-19.63;-15.89;-24.51;1
302.81;-9.22;0;103018.84;100238.97;-80.98;-52.41;-12.19;912.61;457.39;323.86;-24.27;-18.47;-27.06;1
302.84;-8.2;0;103017.02;100232.97;-80.07;-51.41;-11.49;841.04;390.15;332.22;-5.75;1.21;-21.83;1
302.88;-7.15;0;103010.98;100227.56;-80.28;-51.68;-11.92;595.2;312.36;331.51;-0.28;9.9;-28.66;1
302.9;-6.06;0;103010.38;100223.36;-81.26;-52.74;-12.31;213.78;248.45;313.29;-1.73;13.71;-37.63;1
302.91;-4.94;0;103006.77;100216.76;-80.76;-52.33;-12.74;-216.11;185.66;278.49;-0.6;4.83;-34.95;1
302.94;-3.87;0;103002.53;100215.55;-80.82;-53.01;-13.21;-572.39;184.95;248.67;3.26;6.79;-35.96;1
302.95;-2.78;0;103004.95;100216.16;-80.59;-52.27;-12.49;-937;181.48;216.25;2.56;7.37;-31.04;1
302.97;-1.69;0;103002.53;100213.16;-80.62;-51.91;-12.68;-1303.13;181.21;181.77;-0.64;6.59;-30.98;1
302.98;-0.61;0;103003.74;100213.16;-81.35;-52.66;-12.83;-1670;186.93;147.34;3.26;6.73;-31.08;1
303.01;0.49;0;103003.14;100211.95;-81.25;-53.02;-13.21;-2040.66;195.85;117.65;1.61;6.42;-36.7;1
303.03;1.57;0;102999.52;100212.55;-82.28;-53.36;-14.02;-2396.92;204.79;85.2;3.49;7.05;-35.95;1
303.05;2.65;0;102997.1;100211.35;-81.6;-52.84;-13.93;-2746.35;216.94;48.45;1.34;5.86;-32.51;1
303.07;3.74;0;103000.12;100212.55;-81.68;-53.47;-14.52;-3101.09;225.88;17.13;1.7;6.49;-30.12;1
303.08;4.82;0;103000.12;100211.95;-82.71;-53.59;-14.91;-3457.33;244.92;-15.19;1.6;6.23;-32.55;1
303.09;5.91;0;103000.72;100212.55;-82.35;-53.57;-14.65;-3804.47;266.05;-44.22;1.99;6.21;-25.34;1
303.13;6.98;0;102998.91;100210.75;-82.53;-53.81;-15.36;-4136.47;286.72;-73.24;1.38;4.82;-25.57;1
303.15;8.06;0;103001.33;100210.75;-82.62;-53.34;-15.25;-4476.79;308.08;-108.58;-0.24;4.59;-21.46;1
303.17;9.15;0;102997.1;100210.16;-82.52;-53.44;-15.09;-4804.22;333.35;-145.38;1.19;4.61;-17.7;1
303.19;10.23;0;102998.31;100211.35;-82.47;-53.78;-15.03;-5126.35;360.23;-179.52;1.11;5.79;-18.23;1
303.2;11.3;0;103001.33;100212.55;-83.47;-54.36;-16.45;-5428.78;389.89;-216.18;1.03;4.71;-20.76;1
303.23;12.36;0;103000.12;100212.55;-82.89;-54;-15.65;-5687.26;421.66;-242.14;0.91;5.27;-15.35;1
303.24;13.39;0;103002.53;100214.95;-84.08;-54.75;-17.12;-5907.1;455.3;-267.09;-0.24;4.03;-11.47;1
303.27;14.44;0;103005.55;100217.36;-83.16;-53.98;-16.39;-6101.92;494.01;-297.09;-2.37;5.61;-15.11;1
303.29;15.2;0;103003.74;100225.16;-83.04;-54.32;-16.68;-6048.93;580.7;-279.69;-12.08;29.63;-29.52;1
302.47;-10.18;0;102903.52;100129.1;-79.51;-51.85;-11.69;749.5;509.24;553.24;-21.93;-17.6;-19.04;1
302.5;-9.17;0;102905.93;100125.5;-80.67;-52.36;-12.72;718.43;462.11;556.13;-13.99;-10.67;-12.37;1
302.52;-8.15;0;102903.52;100118.89;-79.73;-51.97;-11.99;627.47;402.07;567;-4.06;-2.47;-4.48;1
302.56;-7.09;0;102902.31;100115.89;-80.73;-52.28;-11.96;376.63;327.6;563.5;-3.66;4.18;-16.09;1
302.6;-5.99;0;102896.88;100109.89;-80.95;-52.55;-12.15;-29.52;250.22;547.51;-6.2;6.08;-28.45;1
302.62;-4.89;0;102894.46;100105.09;-80.66;-52.47;-12.57;-428.77;210.09;514.47;-3.53;1.22;-21.75;1
302.63;-3.82;0;102886.61;100100.28;-80.8;-52.88;-13.04;-782.49;206.97;480.75;-2.74;1.82;-22.43;1
302.68;-2.73;0;102882.38;100096.08;-81.22;-53.05;-13.15;-1148.33;205.44;443.43;-2.45;2.65;-24.91;1
302.69;-1.63;0;102885.41;100096.68;-81.73;-53.33;-14.05;-1520.21;214.01;410.24;-1.61;1.2;-31.64;1
302.72;-0.55;0;102882.98;100094.28;-81.6;-53.05;-13.41;-1873.91;218.02;378.15;-1.31;2.51;-24.29;1
302.74;0.54;0;102882.38;100096.08;-80.98;-53.09;-13.17;-2241.24;226.14;342.19;-2.99;1.07;-24.01;1
302.77;1.62;0;102884.8;100095.48;-82.03;-53.19;-14.41;-2599.48;240.24;306.82;-0.62;3.33;-25.55;1
302.79;2.7;0;102882.38;100096.08;-82.19;-53.35;-14.34;-2951.65;252.51;276.75;-1.3;1.91;-24.74;1
302.81;3.79;0;102883.59;100095.48;-82.06;-53.21;-14.62;-3300.78;271.21;242.08;-2.96;0.98;-22.59;1
302.83;4.87;0;102878.77;100091.88;-81.91;-53.57;-14.38;-3642.34;287.4;205.38;-1.59;1.2;-26.66;1
302.85;5.95;0;102877.55;100090.68;-81.42;-53.04;-14.31;-3984.64;310.01;171.49;-3.24;0.97;-23.56;1
302.88;7.04;0;102879.37;100089.48;-82.92;-53.81;-15.08;-4333.76;328.49;134.58;-3.89;0.74;-22.84;1
302.92;8.11;0;102878.77;100089.48;-82.4;-54;-15.77;-4662.42;355.26;105.46;-2.5;1.91;-18.12;1
302.94;9.19;0;102876.34;100087.08;-82.25;-53.11;-14.87;-4988.04;383.63;67.08;-1.6;1.03;-17.16;1
302.96;10.27;0;102878.77;100090.68;-83.43;-54.43;-16.07;-5305.33;413.16;35.97;-2.73;2.24;-15.32;1
302.98;11.34;0;102878.77;100093.08;-82.39;-53.92;-15.83;-5593.07;443.64;-1.41;-2.86;1.18;-10.96;1
303;12.4;0;102884.8;100092.48;-82.97;-54.4;-16.13;-5871.71;476.19;-33.87;-3.5;1.27;-7.37;1
303.02;13.45;0;102887.82;100096.68;-83.13;-53.83;-16.08;-6087.46;514.55;-53.15;-4.17;0.29;-4.75;1
303.04;14.49;0;102884.2;100097.28;-83.45;-54.42;-16.48;-6257.75;549.49;-104.47;-5.83;0.99;-5.68;1
303.06;15.19;0;102893.25;100109.29;-83.17;-54.21;-15.94;-6136.21;674.22;-51.1;-30.67;29.8;-29.58;1
302.72;-10.29;0;102882.98;100112.29;-80.12;-52.05;-12.02;1174.56;540.6;100.44;-28.93;-26.82;-42.83;1
302.77;-9.26;0;102879.37;100104.48;-79.65;-51.82;-11.39;1100.13;482.24;93.61;-14.97;-10.54;-36.64;1
302.82;-8.24;0;102875.74;100098.48;-80.15;-52.5;-12.05;1029.47;412.85;90.66;-7.63;-3.96;-27.46;1
302.85;-7.19;0;102875.14;100093.08;-80.03;-52;-11.8;798.18;335.72;86.98;-2.75;7.29;-32.99;1
302.88;-6.11;0;102869.7;100088.27;-80.19;-51.79;-12.13;416.9;267.86;74.77;0.76;14.05;-43;1
302.89;-4.99;0;102873.33;100086.47;-80.36;-52.1;-12.65;-4.52;199.51;33.02;-0.74;4.25;-37.1;1
302.91;-3.92;0;102869.7;100087.08;-81.25;-52.66;-13.25;-361.42;191.85;1.49;-1.53;3.44;-33;1
302.93;-2.83;0;102867.89;100085.27;-80.86;-52.86;-13.65;-719.08;185.56;-42.73;-1.79;3.58;-40.02;1
302.94;-1.75;0;102866.69;100084.07;-80.87;-52.65;-13.58;-1071.43;184.36;-79.37;3.51;6.93;-34.69;1
302.96;-0.66;0;102867.29;100084.67;-81.74;-53.09;-14.29;-1425.28;184.05;-126.97;2.77;6.17;-33.68;1
302.98;0.42;0;102869.7;100082.88;-81.62;-52.54;-13.61;-1790.5;187.18;-162.98;2.03;5.63;-34.64;1
303;1.51;0;102867.29;100082.88;-81.49;-53.51;-14.09;-2142.84;189.63;-204.61;0.29;6.71;-38.14;1
303.02;2.6;0;102867.29;100081.07;-81.86;-52.89;-14.31;-2503.49;197.59;-244.46;1.09;6.88;-35.88;1
303.05;3.68;0;102866.08;100081.67;-82.21;-53.04;-14.43;-2850.51;209.24;-277.25;-0.14;4.77;-31.75;1
303.07;4.76;0;102869.1;100084.07;-82.48;-54.15;-14.93;-3197.52;222.96;-305.13;0.66;6.1;-30.5;1
303.09;5.86;0;102869.1;100082.27;-82.33;-53.84;-14.95;-3548.31;239.43;-341.22;0.47;5.61;-24.91;1
303.1;6.93;0;102868.5;100082.88;-81.47;-52.84;-13.94;-3876.38;253.62;-372.53;0.25;6.05;-23.21;1
303.13;8.01;0;102872.73;100085.27;-82;-53.3;-14.63;-4222.62;275.83;-406.93;-1.43;6.28;-24.91;1
303.15;9.08;0;102870.91;100082.88;-82.68;-53.23;-14.85;-4552.95;295.99;-439.39;-0.61;5.82;-26.68;1
303.17;10.17;0;102868.5;100082.88;-83.08;-54.39;-16.1;-4878.74;317.77;-474.84;-1.3;3.76;-24.86;1
303.18;11.25;0;102873.93;100084.67;-84.16;-54.87;-16.6;-5189.35;345.77;-502.86;-0.46;6.1;-17.81;1
303.2;12.31;0;102869.7;100084.67;-82.83;-53.99;-16.48;-5449.21;374.95;-524.13;-1.18;5.49;-15.98;1
303.22;13.36;0;102875.14;100088.27;-82.89;-53.81;-16.32;-5696.18;408.06;-545.15;-0.37;3.76;-9.91;1
303.25;14.4;0;102875.14;100087.67;-83;-54.46;-16.37;-5893.14;445.11;-558.59;-2.62;6.45;-11.39;1
303.26;15.13;0;102876.34;100097.28;-82.77;-54.25;-16.45;-5860.44;543.66;-509.52;-19.98;27.25;-27.36;1
303.11;0.4;-19.99;102861.25;100087.67;-81.81;-51.25;-13.69;-1541.49;48.37;-92.45;1153.53;457.59;387.35;1
303.15;0.41;-18;102856.42;100078.67;-82.75;-51.63;-13.99;-1574.88;68.45;-114.51;1003.89;366.36;344.45;1
303.18;0.42;-15.99;102857.62;100076.87;-81.81;-51.56;-13.5;-1612.82;94.04;-128.59;854.27;298.6;300.47;1
303.22;0.44;-13.99;102854.61;100075.66;-82.49;-52.56;-13.71;-1656.83;116.24;-139.83;731.91;231.94;263.46;1
303.24;0.45;-11.97;102859.44;100076.27;-82.2;-52.27;-13.3;-1700.1;135.69;-151.93;613.09;191.95;223.9;1
303.27;0.46;-9.99;102858.23;100077.47;-81.76;-51.74;-13.7;-1738.85;148.93;-156.62;496.26;163.21;180.57;1
303.29;0.46;-7.98;102853.41;100072.06;-82.46;-52.94;-14.34;-1760.17;161.98;-162.32;385.47;124.12;143.52;1
303.33;0.47;-6;102849.78;100069.06;-81.65;-52.86;-13.75;-1780.74;173.46;-164.36;291.34;84.32;99.29;1
303.34;0.47;-3.99;102853.41;100068.46;-81.42;-52.47;-13.27;-1801.32;181.69;-169.04;184.58;59.71;54.6;1
303.37;0.47;-2.02;102854.61;100070.86;-81.78;-52.78;-14.05;-1805.24;183.99;-171.86;90.41;28.17;15.38;1
303.39;0.47;0.03;102853.41;100069.66;-81.58;-53.35;-14.09;-1803.11;186.98;-171.94;-6.29;5.62;-29.67;1
303.41;0.47;2.01;102855.21;100070.27;-80.92;-52.66;-13.93;-1804.77;184.69;-180.6;-97.94;-20.4;-77.85;1
303.43;0.47;3.99;102851.59;100071.46;-81.03;-53.56;-13.66;-1789.02;182.88;-168.22;-189.13;-52.87;-124.19;1
303.45;0.46;6;102852.2;100073.87;-81.31;-53.44;-13.99;-1766.44;175.08;-164.99;-293.97;-82.11;-158.67;1
303.46;0.45;8.01;102850.38;100073.27;-81.39;-53.58;-14.18;-1739.33;162.23;-161.87;-395.3;-120.56;-208.42;1
303.48;0.45;10.03;102851.59;100075.66;-81.1;-53.84;-14.06;-1712.22;150.05;-158.87;-508.25;-160.15;-249.19;1
303.5;0.43;12;102849.78;100076.87;-79.95;-53.19;-13.26;-1664.65;135.14;-152.17;-620.22;-204.33;-292.31;1
303.51;0.42;13.99;102851.59;100078.67;-80.53;-53.74;-13.91;-1610.26;120.69;-140.94;-735.74;-249.43;-326.98;1
303.53;0.41;16.03;102855.21;100082.27;-79.8;-53.59;-13.75;-1569.51;99.75;-126.5;-877.55;-316.16;-366.91;1
303.55;0.4;18;102855.81;100086.47;-79.95;-53.66;-13.86;-1529.51;82.25;-116.37;-1016.31;-395.53;-412.13;1
303.57;0.38;19.99;102854.01;100089.48;-79.64;-53.51;-13.91;-1488.75;62.45;-97.51;-1161.16;-470.31;-451.71;1
302.14;0.25;-20;103228.94;100434.09;-81.48;-51.37;-12.23;-916.28;25.32;-71.23;1168.27;435.42;420.85;1
302.21;0.26;-18;103227.73;100429.89;-82.45;-51.23;-12.91;-935.07;49.98;-78.76;1017.7;348.95;376.29;1
302.25;0.26;-15.99;103222.9;100427.48;-82.67;-52.16;-13.79;-957.64;74.15;-95.44;854.53;296.55;338.07;1
302.3;0.27;-13.99;103220.48;100423.88;-82.04;-52.15;-13.15;-991.6;96.07;-110.53;723.18;243.62;296.95;1
302.34;0.28;-12;103222.9;100421.48;-82.05;-52.08;-13.27;-1026.34;116.89;-113.42;616.06;195.94;247.33;1
302.37;0.29;-10;103219.88;100419.08;-81.85;-52.46;-12.89;-1046.69;130.56;-127.66;491.24;165.99;208.34;1
302.42;0.29;-8.01;103216.86;100418.48;-82.51;-52.7;-13.32;-1067.04;145.2;-124.22;384.58;123.58;166.47;1
302.45;0.3;-6;103218.67;100417.88;-82.04;-52.53;-13.32;-1079.84;155.94;-132.87;287.02;93.37;115.72;1
302.49;0.3;-3.99;103218.06;100417.28;-82.23;-53.1;-13.95;-1084.3;166.26;-129.47;197;50.25;65.7;1
302.52;0.3;-1.99;103216.26;100416.08;-81.69;-53.02;-12.96;-1093.32;168.72;-141.37;92.34;21.4;15.13;1
302.56;0.3;0;103215.05;100414.28;-81.61;-52.56;-12.87;-1091.74;173.09;-135.6;6.33;-0.58;-21.81;1
302.59;0.3;2;103213.23;100412.48;-80.99;-52.54;-12.47;-1090.16;171.18;-136.31;-108.98;-10.33;-62.81;1
302.62;0.29;3.99;103209.62;100411.28;-80.82;-53.16;-12.82;-1077.99;167.74;-132.66;-193;-51.64;-113.33;1
302.66;0.29;6;103209.02;100413.08;-81.61;-53.61;-13.55;-1067.34;155.06;-130;-296.75;-82.84;-165.1;1
302.68;0.28;7.99;103207.2;100412.48;-80.93;-53.44;-12.58;-1049.11;145.62;-129.31;-400.49;-123.22;-208.01;1
302.7;0.28;9.99;103207.2;100413.68;-80.34;-53.58;-12.37;-1024.82;133.83;-121.18;-524.45;-145.63;-256.94;1
302.74;0.27;12;103207.8;100413.68;-81.02;-53.72;-13.34;-994.48;117.76;-120.37;-623.19;-206.51;-301.92;1
302.78;0.26;13.99;103204.78;100414.88;-80.06;-52.76;-12.61;-955.8;101.17;-109.46;-749.21;-240.2;-342.98;1
302.83;0.25;15.98;103206.59;100418.48;-80.35;-53.47;-13.17;-927.71;84.32;-100.32;-883.32;-301.27;-384.43;1
302.86;0.24;18;103205.39;100420.88;-80.23;-54.19;-12.96;-901.9;66.75;-82.76;-1035.12;-368.08;-434.95;1
302.87;0.23;20.01;103205.39;100423.28;-79.76;-54.33;-13.39;-870.81;40.07;-67.44;-1154.64;-461.19;-479.59;1
302.63;-10.28;0;103204.18;100423.28;-80.63;-52.71;-11.76;1193.2;549.58;91.49;-14.96;-36.7;-6.81;1
302.67;-9.27;0;103209.62;100420.28;-79.74;-51.91;-11.51;1166.16;493.96;94.15;1.32;-29.56;-30.44;1
302.7;-8.26;0;103204.18;100416.08;-81.23;-53.13;-13.18;1077.74;426.33;95.63;2.93;-13.33;-19.06;1
302.72;-7.23;0;103201.77;100410.08;-80.89;-52.14;-11.93;956.73;349.48;95.09;8.06;-16.01;-16.99;1
302.75;-6.17;0;103199.95;100407.08;-80.68;-52.37;-12.02;729.69;287.88;76.81;-5.85;-2.83;-25.66;1
302.77;-5.14;0;103193.92;100398.07;-80.28;-52.1;-11.57;539.74;207.98;54.85;-1.16;4.79;-23.47;1
302.78;-4.06;0;103192.11;100398.07;-81.35;-53.03;-13.26;234.75;189.29;18.88;-1.2;4.92;-20.83;1
302.8;-2.98;0;103190.9;100396.27;-81.11;-52.71;-12.6;-86.13;176.56;-26.78;0.33;2.31;-21.91;1
302.8;-1.91;0;103190.9;100397.47;-81.45;-52.85;-13.18;-407.75;172.1;-58.46;-2.17;7.53;-19.32;1
302.83;-0.83;0;103190.3;100395.67;-80.95;-52.38;-12.99;-736.95;171.08;-96.16;-0.6;6.55;-21.49;1
302.84;0.25;0;103190.3;100396.27;-81.5;-53.02;-13.48;-1070.7;165.01;-130.51;3.97;-0.45;-21.94;1
302.85;1.33;0;103189.09;100393.87;-81.92;-53.07;-13.4;-1403.67;169.74;-164.17;12.12;-7.18;-26.99;1
302.88;2.41;0;103193.92;100394.47;-82.15;-53.39;-13.4;-1737.4;174.67;-194.56;0.57;7.04;-21.57;1
302.87;3.48;0;103190.3;100393.27;-82.36;-53.29;-14.32;-2064.31;176.88;-233.08;8.72;-4.06;-24.63;1
302.9;4.57;0;103186.67;100390.87;-82.1;-53.55;-13.79;-2385.91;184.6;-273.28;11.83;-5.46;-23.6;1
302.92;5.63;0;103188.48;100392.06;-82.3;-53.56;-14.45;-2705.99;196.91;-298.04;11.41;-6.41;-25.98;1
302.94;6.72;0;103189.09;100392.06;-82.43;-53.85;-14.8;-3028.33;208.52;-332.96;8.47;-4.81;-21.37;1
